antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,CustomerSegment
frozenset({'48138'}),frozenset({'20685'}),0.04498306897166281,0.04027802530743183,0.011940830511495278,0.2654516640253566,6.590483570116264,1.0,0.010129001321048691,1.3065470680280702,0.8882209710600507,0.16285853184248905,0.23462382299837992,0.2809559205082535,1
frozenset({'20685'}),frozenset({'48138'}),0.04027802530743183,0.04498306897166281,0.011940830511495278,0.29646017699115046,6.590483570116264,1.0,0.010129001321048691,1.3574454491346177,0.8838664615640461,0.16285853184248905,0.26332214628771416,0.2809559205082535,1
frozenset({'85099B'}),frozenset({'20712'}),0.09003742648369274,0.025236143289966137,0.0134735341293887,0.1496437054631829,5.929737509561576,1.0,0.011201336733186438,1.1463005130584476,0.9136183126938738,0.1323529411764706,0.1276284110421471,0.3417710052739643,1
frozenset({'20712'}),frozenset({'85099B'}),0.025236143289966137,0.09003742648369274,0.0134735341293887,0.5338983050847458,5.929737509561577,1.0,0.011201336733186438,1.9522833395440775,0.8528819214086336,0.1323529411764706,0.4877792686416445,0.3417710052739643,1
frozenset({'21931'}),frozenset({'20713'}),0.04826234182855106,0.02430939226519337,0.011263589378007486,0.23338257016248154,9.600510272592992,1.0,0.010090361178860387,1.2727216598005089,0.9412666002648171,0.18372093023255814,0.21428224914727723,0.3483628393334402,1
frozenset({'20713'}),frozenset({'21931'}),0.02430939226519337,0.04826234182855106,0.011263589378007486,0.46334310850439886,9.600510272592992,1.0,0.010090361178860387,1.773456510581771,0.9181587510930802,0.18372093023255814,0.43612939249806787,0.3483628393334402,1
frozenset({'85099B'}),frozenset({'20713'}),0.09003742648369274,0.02430939226519337,0.013081447157369452,0.14528899445764054,5.976660908371122,1.0,0.010892692038428855,1.1415444535146464,0.9150733423537243,0.12917986624428018,0.1239938165166078,0.34170608080653286,1
frozenset({'20713'}),frozenset({'85099B'}),0.02430939226519337,0.09003742648369274,0.013081447157369452,0.5381231671554252,5.976660908371122,1.0,0.010892692038428855,1.9701411909146715,0.8534288297573605,0.12917986624428018,0.4924221651668868,0.34170608080653286,1
frozenset({'20723'}),frozenset({'20719'}),0.028479771876670824,0.028337194795936552,0.011691320620210301,0.4105131414267835,14.486724758148947,1.0,0.010884283776797244,1.6483197056434113,0.958262378567798,0.25908372827804105,0.3933215767692007,0.4115458788894924,1
frozenset({'20719'}),frozenset({'20723'}),0.028337194795936552,0.028479771876670824,0.011691320620210301,0.4125786163522013,14.486724758148945,1.0,0.010884283776797244,1.6538727652206568,0.9581217678005832,0.25908372827804105,0.3953585662518714,0.4115458788894924,1
frozenset({'20724'}),frozenset({'20719'}),0.04348600962395295,0.028337194795936552,0.0161468543931563,0.37131147540983606,13.103325085060316,1.0,0.014914582867544376,1.5455392729451858,0.9656769292845536,0.29001280409731117,0.3529766486655521,0.4705613980822766,1
frozenset({'20719'}),frozenset({'20724'}),0.028337194795936552,0.04348600962395295,0.0161468543931563,0.5698113207547171,13.103325085060318,1.0,0.014914582867544376,2.22347550394432,0.9506214379072264,0.29001280409731117,0.5502536464979909,0.4705613980822766,1
frozenset({'22355'}),frozenset({'20719'}),0.033469969702370345,0.028337194795936552,0.013687399750490109,0.40894568690095845,14.431410372335082,1.0,0.012738954699219946,1.6439484217776856,0.9629361470165216,0.2844444444444445,0.39170840961138625,0.4459822774127434,1
frozenset({'20719'}),frozenset({'22355'}),0.028337194795936552,0.033469969702370345,0.013687399750490109,0.4830188679245283,14.431410372335082,1.0,0.012738954699219946,1.8695653870720572,0.957849470377843,0.2844444444444445,0.4651163276155274,0.4459822774127434,1
frozenset({'22356'}),frozenset({'20719'}),0.031117447870254857,0.028337194795936552,0.01222598467296382,0.3928980526918671,13.865100463233123,1.0,0.011344203491112008,1.6004936395153724,0.9576769312053316,0.2588679245283019,0.37519276846186106,0.41217229678618517,1
frozenset({'20719'}),frozenset({'22356'}),0.028337194795936552,0.031117447870254857,0.01222598467296382,0.43144654088050316,13.865100463233123,1.0,0.011344203491112008,1.7041186481043085,0.9549366964058447,0.2588679245283019,0.41318639924959594,0.41217229678618517,1
frozenset({'20724'}),frozenset({'20723'}),0.04348600962395295,0.028479771876670824,0.01778649082160043,0.40901639344262297,14.361645704671824,1.0,0.016548019187683536,1.643903853412568,0.9726675262206919,0.3282894736842106,0.3916919180375986,0.5167735283858923,1
frozenset({'20723'}),frozenset({'20724'}),0.028479771876670824,0.04348600962395295,0.01778649082160043,0.6245306633291615,14.361645704671824,1.0,0.016548019187683536,2.5475155943682055,0.9576435671460325,0.3282894736842106,0.6074606953493432,0.5167735283858923,1
frozenset({'20723'}),frozenset({'22355'}),0.028479771876670824,0.033469969702370345,0.013794332561040812,0.48435544430538174,14.47134397229764,1.0,0.012841115459198221,1.874411393708267,0.9581868610680702,0.28645447816432273,0.46649918830164794,0.44824800969262696,1
frozenset({'22355'}),frozenset({'20723'}),0.033469969702370345,0.028479771876670824,0.013794332561040812,0.4121405750798722,14.47134397229764,1.0,0.012841115459198221,1.6526403880576195,0.9631339830827305,0.28645447816432273,0.394907683954572,0.44824800969262696,1
frozenset({'22356'}),frozenset({'20723'}),0.031117447870254857,0.028479771876670824,0.013437889859205132,0.43184421534936995,15.163190815552658,1.0,0.012551672042476078,1.7099539499025531,0.9640495826638279,0.2911196911196911,0.4151889294697158,0.4518420075495285,1
frozenset({'20723'}),frozenset({'22356'}),0.028479771876670824,0.031117447870254857,0.013437889859205132,0.4718397997496871,15.163190815552658,1.0,0.012551672042476078,1.8344482444352281,0.9614321894617028,0.2911196911196911,0.45487696203287,0.4518420075495285,1
frozenset({'20724'}),frozenset({'20725'}),0.04348600962395295,0.07307075387631438,0.014257708073427196,0.32786885245901637,4.487005197920832,1.0,0.011080152567132292,1.379089853988898,0.8124650642817217,0.13937282229965153,0.2748840859733783,0.2614954018392643,1
frozenset({'20725'}),frozenset({'20724'}),0.07307075387631438,0.04348600962395295,0.014257708073427196,0.19512195121951217,4.487005197920831,1.0,0.011080152567132292,1.1883961698611492,0.838396462218804,0.13937282229965153,0.1585297686403359,0.2614954018392643,1
frozenset({'20724'}),frozenset({'20727'}),0.04348600962395295,0.056175369809303155,0.010301194083051149,0.2368852459016393,4.2168880544229,1.0,0.007858351410894675,1.2368056378438776,0.7975401386017201,0.11527722377343437,0.19146552263191552,0.2101304402097029,1
frozenset({'20727'}),frozenset({'20724'}),0.056175369809303155,0.04348600962395295,0.010301194083051149,0.18337563451776648,4.2168880544229,1.0,0.007858351410894675,1.1713022912452604,0.8082627598994359,0.11527722377343437,0.14624942896947785,0.2101304402097029,1
frozenset({'20724'}),frozenset({'22355'}),0.04348600962395295,0.033469969702370345,0.018000356442701836,0.41393442622950816,12.367337942352345,1.0,0.016544881018111145,1.6491841076407106,0.9609288150726756,0.3053204353083434,0.39363956069733186,0.4758703015066604,1
frozenset({'22355'}),frozenset({'20724'}),0.033469969702370345,0.04348600962395295,0.018000356442701836,0.5378061767838126,12.367337942352346,1.0,0.016544881018111145,2.0695083800993275,0.9509708199024653,0.3053204353083434,0.5167934521956349,0.4758703015066604,1
frozenset({'22356'}),frozenset({'20724'}),0.031117447870254857,0.04348600962395295,0.02078060951702014,0.6678121420389462,15.356942331887407,1.0,0.019427435879461382,2.8794369434423768,0.9649083561377072,0.38609271523178806,0.6527098805627962,0.5728404972489813,1
frozenset({'20724'}),frozenset({'22356'}),0.04348600962395295,0.031117447870254857,0.02078060951702014,0.4778688524590164,15.356942331887405,1.0,0.019427435879461382,1.8556306335922907,0.9773854643761938,0.38609271523178806,0.46109964887564214,0.5728404972489813,1
frozenset({'20724'}),frozenset({'22383'}),0.04348600962395295,0.05966850828729282,0.010657636784886829,0.24508196721311473,4.107392228293867,1.0,0.008062891459258696,1.2456074048745958,0.7909309523765011,0.11522157996146434,0.19717882529714317,0.2118480325910257,1
frozenset({'22383'}),frozenset({'20724'}),0.05966850828729282,0.04348600962395295,0.010657636784886829,0.17861409796893668,4.107392228293867,1.0,0.008062891459258696,1.1645123053741837,0.8045423640886779,0.11522157996146434,0.1412714186144408,0.2118480325910257,1
frozenset({'20724'}),frozenset({'85099B'}),0.04348600962395295,0.09003742648369274,0.0152557476385671,0.3508196721311475,3.8963760497384574,1.0,0.01134037924398128,1.4017100248609784,0.7771462502764384,0.1289933694996986,0.2865856830130183,0.26012875926430695,1
frozenset({'85099B'}),frozenset({'20724'}),0.09003742648369274,0.04348600962395295,0.0152557476385671,0.16943784639746637,3.896376049738458,1.0,0.01134037924398128,1.1516464917492348,0.8169031151305661,0.1289933694996986,0.1316779869827061,0.26012875926430695,1
frozenset({'20725'}),frozenset({'20726'}),0.07307075387631438,0.04509000178221351,0.024558902156478345,0.3360975609756097,7.453926540055914,1.0,0.021264141733967644,1.4383287996667613,0.9340977466374251,0.26237623762376233,0.3047486776099564,0.4403807962980815,1
