antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'15056N'}),frozenset({'15056BL'}),0.02334388271254294,0.02131515594146447,0.011333820227758392,0.4855156431054461,22.777954073559943,1.0,0.010836241727461282,1.9022635595101716,0.9789504041864533,0.3400974025974025,0.47431048920608154,0.5086207657151596
frozenset({'15056BL'}),frozenset({'15056N'}),0.02131515594146447,0.02334388271254294,0.011333820227758392,0.531725888324873,22.777954073559943,1.0,0.010836241727461282,2.085650461849637,0.9769211269328124,0.3400974025974025,0.5205332732920354,0.5086207657151596
frozenset({'20679'}),frozenset({'15056BL'}),0.01682490735481079,0.02131515594146447,0.010441180448483864,0.6205787781350481,29.11443762547537,1.0,0.01008255492451538,2.5794151398491905,0.9821778308135558,0.37695312499999994,0.6123152165190181,0.5552132469355444
frozenset({'15056BL'}),frozenset({'20679'}),0.02131515594146447,0.01682490735481079,0.010441180448483864,0.4898477157360406,29.114437625475375,1.0,0.01008255492451538,1.9272188383194255,0.9866841053752055,0.37695312499999994,0.4811175668705996,0.5552132469355444
frozenset({'48138'}),frozenset({'20685'}),0.04087208201466093,0.0399794422353864,0.010738727041575373,0.2627399073461284,6.571875260269974,1.0,0.009104683999630261,1.3021463759266887,0.8839659593718072,0.1531635802469136,0.2320371822343417,0.26567306598700197
frozenset({'20685'}),frozenset({'48138'}),0.0399794422353864,0.04087208201466093,0.010738727041575373,0.26860622462787553,6.571875260269975,1.0,0.009104683999630261,1.3113700858300936,0.8831440361614364,0.1531635802469136,0.2374387590464192,0.26567306598700197
frozenset({'85099B'}),frozenset({'20712'}),0.08818199031621088,0.024750466607157347,0.013470745759961048,0.15276073619631902,6.172034597204064,1.0,0.011288200353286999,1.1510910495512916,0.919019874925255,0.1354364971444112,0.1312589908593143,0.3485115156391431
frozenset({'20712'}),frozenset({'85099B'}),0.024750466607157347,0.08818199031621088,0.013470745759961048,0.5442622950819672,6.172034597204063,1.0,0.011288200353286999,2.000751747867307,0.8592456028139852,0.1354364971444112,0.5001878663527618,0.3485115156391431
frozenset({'21931'}),frozenset({'20713'}),0.046363169141713324,0.02488571505856258,0.010873975492980605,0.23453908984830807,9.424647405002283,1.0,0.009720194876507986,1.273891680175018,0.9373539337774325,0.18010752688172044,0.21500390059646873,0.3357478057937192
frozenset({'20713'}),frozenset({'21931'}),0.02488571505856258,0.046363169141713324,0.010873975492980605,0.4369565217391304,9.424647405002283,1.0,0.009720194876507986,1.6937179235320923,0.9167081731899188,0.18010752688172044,0.40958291454187806,0.3357478057937192
